x , Curve1
0.214266 , -0.0053582
0.329673 , 0.000732746
0.396151 , 0.145908
0.421318 , 0.263903
0.471247 , 0.391538
0.51287 , 0.502068
0.570886 , 0.588463
0.66175 , 0.643259
0.768946 , 0.65725
0.892409 , 0.613766
1.0076 , 0.561512
1.11457 , 0.517158
1.21331 , 0.472369
1.32028 , 0.428015
1.42732 , 0.400331
1.55076 , 0.348512
1.65786 , 0.337498
1.78135 , 0.302349
1.9214 , 0.28474
2.05323 , 0.275031
2.16854 , 0.256117
2.27564 , 0.245103
2.39102 , 0.242859
2.51461 , 0.232715
2.6465 , 0.239677
2.803 , 0.214603
2.91013 , 0.211924
2.97608 , 0.215404
