# eps (GeV/fm^3   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
   0.0003894211   0.0000810026    0.0094084735   0.0000000000
   0.0004328968   0.0000908371    0.0102692920   0.0000000000
   0.0004799785   0.0001015590    0.0111834131   0.0000000000
   0.0005308790   0.0001132224    0.0121528569   0.0000000000
   0.0005858209   0.0001258838    0.0131797176   0.0000000000
   0.0006450377   0.0001396017    0.0142661704   0.0000000000
   0.0007087739   0.0001544368    0.0154144763   0.0000000000
   0.0007772863   0.0001704521    0.0166269889   0.0000000000
   0.0008508443   0.0001877130    0.0179061601   0.0000000000
   0.0009297308   0.0002062874    0.0192545470   0.0000000000
   0.0010142431   0.0002262460    0.0206748184   0.0000000000
   0.0011046935   0.0002476620    0.0221697614   0.0000000000
   0.0012014105   0.0002706114    0.0237422890   0.0000000000
   0.0013047397   0.0002951734    0.0253954471   0.0000000000
   0.0014150448   0.0003214302    0.0271324223   0.0000000000
   0.0015327084   0.0003494673    0.0289565500   0.0000000000
   0.0016581337   0.0003793735    0.0308713226   0.0000000000
   0.0017917453   0.0004112414    0.0328803978   0.0000000000
   0.0019339903   0.0004451670    0.0349876081   0.0000000000
   0.0020853403   0.0004812507    0.0371969702   0.0000000000
   0.0022462921   0.0005195964    0.0395126933   0.0000000000
   0.0024173696   0.0005603130    0.0419391914   0.0000000000
   0.0025991254   0.0006035133    0.0444810922   0.0000000000
   0.0027921419   0.0006493152    0.0471432485   0.0000000000
   0.0029970339   0.0006978416    0.0499307494   0.0000000000
   0.0032144497   0.0007492203    0.0528489326   0.0000000000
   0.0034450733   0.0008035849    0.0559033965   0.0000000000
   0.0036896265   0.0008610745    0.0591000128   0.0000000000
   0.0039488710   0.0009218343    0.0624449404   0.0000000000
   0.0042236105   0.0009860159    0.0659446387   0.0000000000
   0.0045146931   0.0010537774    0.0696058823   0.0000000000
   0.0048230140   0.0011252839    0.0734357762   0.0000000000
   0.0051495175   0.0012007077    0.0774417709   0.0000000000
   0.0054952006   0.0012802288    0.0816316789   0.0000000000
   0.0058611150   0.0013640351    0.0860136912   0.0000000000
   0.0062483706   0.0014523230    0.0905963951   0.0000000000
   0.0066581383   0.0015452978    0.0953887918   0.0000000000
   0.0070916538   0.0016431736    0.1004003155   0.0000000000
   0.0075502203   0.0017461747    0.1056408522   0.0000000000
   0.0080352125   0.0018545351    0.1111207604   0.0000000000
   0.0085480806   0.0019684996    0.1168508912   0.0000000000
   0.0090903534   0.0020883241    0.1228426102   0.0000000000
   0.0096636434   0.0022142760    0.1291078192   0.0000000000
   0.0102696500   0.0023466350    0.1356589793   0.0000000000
   0.0109101650   0.0024856936    0.1425091344   0.0000000000
   0.0115870764   0.0026317575    0.1496719354   0.0000000000
   0.0123023734   0.0027851465    0.1571616654   0.0000000000
   0.0130581520   0.0029461948    0.1649932653   0.0000000000
   0.0138566192   0.0031152521    0.1731823603   0.0000000000
   0.0147000993   0.0032926841    0.1817452871   0.0000000000
   0.0155910392   0.0034788730    0.1906991221   0.0000000000
   0.0165320141   0.0036742186    0.2000617098   0.0000000000
   0.0175257338   0.0038791389    0.2098516925   0.0000000000
   0.0185750488   0.0040940709    0.2200885404   0.0000000000
   0.0196829569   0.0043194717    0.2307925825   0.0000000000
   0.0208526102   0.0045558188    0.2419850382   0.0000000000
   0.0220873214   0.0048036119    0.2536880498   0.0000000000
   0.0233905717   0.0050633728    0.2659247153   0.0000000000
   0.0247660180   0.0053356472    0.2787191223   0.0000000000
   0.0262175004   0.0056210053    0.2920963825   0.0000000000
   0.0277490504   0.0059200430    0.3060826666   0.0000000000
   0.0293648989   0.0062333827    0.3207052399   0.0000000000
   0.0310694849   0.0065616750    0.3359924992   0.0000000000
   0.0328674639   0.0069055991    0.3519740090   0.0000000000
   0.0347637169   0.0072658646    0.3686805400   0.0000000000
   0.0367633597   0.0076432125    0.3861441062   0.0000000000
   0.0388717523   0.0080384163    0.4043980046   0.0000000000
   0.0410945084   0.0084522835    0.4234768537   0.0000000000
   0.0434375058   0.0088856569    0.4434166336   0.0000000000
   0.0459068963   0.0093394161    0.4642547260   0.0000000000
   0.0485091159   0.0098144787    0.4860299550   0.0000000000
   0.0512508962   0.0103118018    0.5087826284   0.0000000000
   0.0541392749   0.0108323837    0.5325545787   0.0000000000
   0.0571816071   0.0113772652    0.5573892055   0.0000000000
   0.0603855768   0.0119475313    0.5833315172   0.0000000000
   0.0637592088   0.0125443129    0.6104281739   0.0000000000
   0.0673108803   0.0131687885    0.6387275304   0.0000000000
   0.0710493336   0.0138221856    0.6682796784   0.0000000000
   0.0749836881   0.0145057827    0.6991364910   0.0000000000
   0.0791234535   0.0152209113    0.7313516650   0.0000000000
   0.0834785422   0.0159689573    0.7649807653   0.0000000000
   0.0880592829   0.0167513632    0.8000812683   0.0000000000
   0.0928764339   0.0175696300    0.8367126059   0.0000000000
   0.0979411967   0.0184253191    0.8749362091   0.0000000000
   0.1032652297   0.0193200543    0.9148155523   0.0000000000
   0.1088606627   0.0202555239    0.9564161970   0.0000000000
   0.1147401106   0.0212334830    0.9998058354   0.0000000000
   0.1209166886   0.0222557552    1.0450543345   0.0000000000
   0.1274040264   0.0233242352    1.0922337799   0.0000000000
   0.1342162829   0.0244408911    1.1414185184   0.0000000000
   0.1413681621   0.0256077662    1.1926852024   0.0000000000
   0.1488749276   0.0268269818    1.2461128326   0.0000000000
   0.1567524184   0.0281007392    1.3017828005   0.0000000000
   0.1650170645   0.0294313227    1.3597789315   0.0000000000
   0.1736859027   0.0308211012    1.4201875269   0.0000000000
   0.1827765924   0.0322725314    1.4830974057   0.0000000000
   0.1923074321   0.0337881601    1.5485999464   0.0000000000
   0.2022973751   0.0353706268    1.6167891282   0.0000000000
   0.2127660465   0.0370226661    1.6877615712   0.0000000000
   0.2237337593   0.0387471107    1.7616165771   0.0000000000
   0.2352215314   0.0405468940    1.8384561692   0.0000000000
   0.2472511021   0.0424250527    1.9183851309   0.0000000000
   0.2598449491   0.0443847298    2.0015110450   0.0000000000
   0.2730263056   0.0464291772    2.0879443316   0.0000000000
   0.2868191774   0.0485617586    2.1777982854   0.0000000000
   0.3012483600   0.0507859526    2.2711891132   0.0000000000
   0.3163394559   0.0531053554    2.3682359696   0.0000000000
   0.3321188921   0.0555236838    2.4690609927   0.0000000000
   0.3486139373   0.0580447783    2.5737893394   0.0000000000
   0.3658527197   0.0606726062    2.6825492192   0.0000000000
   0.3838642441   0.0634112642    2.7954719274   0.0000000000
   0.4026784101   0.0662649823    2.9126918784   0.0000000000
   0.4223260292   0.0692381261    3.0343466377   0.0000000000
   0.4428388426   0.0723352006    3.1605769523   0.0000000000
   0.4642495392   0.0755608531    3.2915267818   0.0000000000
   0.4865917728   0.0789198763    3.4273433276   0.0000000000
   0.5099001803   0.0824172119    3.5681770617   0.0000000000
   0.5342103991   0.0860579539    3.7141817546   0.0000000000
   0.5595590850   0.0898473513    3.8655145019   0.0000000000
   0.5859839298   0.0937908122    4.0223357512   0.0000000000
   0.6135236788   0.0978939067    4.1848093268   0.0000000000
   0.6422181491   0.1021623705    4.3531024541   0.0000000000
   0.6721082466   0.1066021082    4.5273857835   0.0000000000
   0.7032359836   0.1112191966    4.7078334120   0.0000000000
   0.7356444969   0.1160198887    4.8946229060   0.0000000000
   0.7693780647   0.1210106165    5.0879353214   0.0000000000
   0.8044821244   0.1261979949    5.2879552235   0.0000000000
   0.8410032897   0.1315888252    5.4948707059   0.0000000000
   0.8789893682   0.1371900985    5.7088734083   0.0000000000
   0.9184893783   0.1430089993    5.9301585337   0.0000000000
   0.9595535666   0.1490529090    6.1589248644   0.0000000000
   1.0022334247   0.1553294099    6.3953747771   0.0000000000
   1.0465817066   0.1618462882    6.6397142571   0.0000000000
   1.0926524449   0.1686115379    6.8921529113   0.0000000000
   1.1405009681   0.1756333645    7.1529039812   0.0000000000
   1.1901839169   0.1829201886    7.4221843537   0.0000000000
   1.2417592607   0.1904806495    7.7002145708   0.0000000000
   1.2952863146   0.1983236087    7.9872188410   0.0000000000
   1.3508257546   0.2064581541    8.2834250463   0.0000000000
   1.4083909441   0.2148935451    8.5888068209   0.0000000000
   1.4677452831   0.2236383739    8.9020192473   0.0000000000
   1.5286157017   0.2326996851    9.2215465282   0.0000000000
   1.5907832045   0.2420831659    9.5461790127   0.0000000000
   1.6540731119   0.2517934225    9.8749561366   0.0000000000
   1.7183470224   0.2618342052   10.2071197299   0.0000000000
   1.7834962330   0.2722085913   10.5420760223   0.0000000000
   1.8494363491   0.2829191335   10.8793647071   0.0000000000
   1.9161028664   0.2939679799   11.2186337374   0.0000000000
   1.9834475468   0.3053569722   11.5596187826   0.0000000000
   2.0514354444   0.3170877244   11.9021264764   0.0000000000
   2.1200424637   0.3291616868   12.2460207528   0.0000000000
   2.1892533537   0.3415801977   12.5912116987   0.0000000000
   2.2590600601   0.3543445245   12.9376464583   0.0000000000
   2.3294603708   0.3674558972   13.2853018130   0.0000000000
   2.4004568035   0.3809155349   13.6341781296   0.0000000000
   2.4720556905   0.3947246667   13.9842944254   0.0000000000
   2.5442664276   0.4088845482   14.3356843487   0.0000000000
   2.6171008567   0.4233964748   14.6883929060   0.0000000000
   2.6905727594   0.4382617914   15.0424738017   0.0000000000
   2.7646974413   0.4534818999   15.3979872782   0.0000000000
   2.8394913919   0.4690582651   15.7549983664   0.0000000000
   2.9149720061   0.4849924186   16.1135754723   0.0000000000
   2.9911573568   0.5012859616   16.4737892375   0.0000000000
   3.0680660098   0.5179405666   16.8357116261   0.0000000000
   3.1457168731   0.5349579786   17.1994151947   0.0000000000
   3.2241290756   0.5523400149   17.5649725141   0.0000000000
   3.3033218685   0.5700885655   17.9324557131   0.0000000000
   3.3833145467   0.5882055921   18.3019361236   0.0000000000
   3.4641263867   0.6066931270   18.6734840077   0.0000000000
   3.5457765966   0.6255532723   19.0471683510   0.0000000000
   3.6282842780   0.6447881984   19.4230567108   0.0000000000
   3.7116683964   0.6644001424   19.8012151076   0.0000000000
   3.7959477588   0.6843914067   20.1817079528   0.0000000000
   3.8811409976   0.7047643574   20.5645980044   0.0000000000
   3.9672665592   0.7255214222   20.9499463458   0.0000000000
   4.0543426968   0.7466650893   21.3378123827   0.0000000000
   4.1423874657   0.7681979055   21.7282538548   0.0000000000
   4.2314187225   0.7901224742   22.1213268578   0.0000000000
   4.3214541250   0.8124414545   22.5170858752   0.0000000000
   4.4125111348   0.8351575590   22.9155838155   0.0000000000
   4.5046070205   0.8582735523   23.3168720555   0.0000000000
   4.5977588624   0.8817922498   23.7210004860   0.0000000000
   4.6919835579   0.9057165162   24.1280175605   0.0000000000
   4.7872978268   0.9300492635   24.5379703450   0.0000000000
   4.8837182185   0.9547934507   24.9509045689   0.0000000000
   4.9812611175   0.9799520813   25.3668646760   0.0000000000
   5.0799427513   1.0055282031   25.7858938744   0.0000000000
   5.1797791963   1.0315249061   26.2080341873   0.0000000000
   5.2807863851   1.0579453221   26.6333265011   0.0000000000
