  y	central		max	min
  0.25  0.83199771  0.949411252  0.6863057
  0.75  0.83364299  0.974658911  0.703902368
  1.25  0.838587274  0.959085918  0.701574506
  1.75  0.838575048  0.99267706  0.730167333
  2.25  0.858415377  0.984127147  0.743274321
  2.75  0.875629406  1.01096893  0.791390165
  3.25  0.919783096  1.0029447  0.815943169
  3.75  0.949686941  0.988311295  0.808238306
  4.25  0.956353919  1.0324127  0.90460511
  4.75  0.909050577  1.04704391  0.869116632
  5.25  0.84167894  0.920601932  0.744700574
  5.75  0.780003081  0.959913737  0.666223307
  6.25  0.671460674  0.86918488  0.4683514
  6.75  0.753228121  0.806312769  0.264509896
