# eps (GeV/fm^3   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
   0.0003896754   0.0000810124    0.0094137570   0.0000000000
   0.0004332490   0.0000908532    0.0102765128   0.0000000000
   0.0004804550   0.0001015834    0.0111930457   0.0000000000
   0.0005315114   0.0001132579    0.0121654576   0.0000000000
   0.0005866468   0.0001259337    0.0131959337   0.0000000000
   0.0006461013   0.0001396699    0.0142867494   0.0000000000
   0.0007101274   0.0001545281    0.0154402762   0.0000000000
   0.0007789902   0.0001705722    0.0166589881   0.0000000000
   0.0008529686   0.0001878686    0.0179454685   0.0000000000
   0.0009323560   0.0002064866    0.0193024163   0.0000000000
   0.0010174613   0.0002264979    0.0207326536   0.0000000000
   0.0011086098   0.0002479773    0.0222391320   0.0000000000
   0.0012061437   0.0002710026    0.0238249403   0.0000000000
   0.0013104240   0.0002956547    0.0254933122   0.0000000000
   0.0014218307   0.0003220179    0.0272476335   0.0000000000
   0.0015407645   0.0003501798    0.0290914507   0.0000000000
   0.0016676478   0.0003802318    0.0310284790   0.0000000000
   0.0018029258   0.0004122691    0.0330626112   0.0000000000
   0.0019470682   0.0004463908    0.0351979264   0.0000000000
   0.0021005701   0.0004827001    0.0374386993   0.0000000000
   0.0022639539   0.0005213048    0.0397894105   0.0000000000
   0.0024377705   0.0005623171    0.0422547552   0.0000000000
   0.0026226010   0.0006058542    0.0448396552   0.0000000000
   0.0028190586   0.0006520380    0.0475492690   0.0000000000
   0.0030277901   0.0007009961    0.0503890031   0.0000000000
   0.0032494780   0.0007528613    0.0533645240   0.0000000000
   0.0034848422   0.0008077724    0.0564817708   0.0000000000
   0.0037346423   0.0008658742    0.0597469674   0.0000000000
   0.0039996799   0.0009273178    0.0631666367   0.0000000000
   0.0042808003   0.0009922612    0.0667476139   0.0000000000
   0.0045788957   0.0010608692    0.0704970612   0.0000000000
   0.0048949072   0.0011333140    0.0744224833   0.0000000000
   0.0052298275   0.0012097754    0.0785317424   0.0000000000
   0.0055847038   0.0012904415    0.0828330755   0.0000000000
   0.0059606408   0.0013755085    0.0873351108   0.0000000000
   0.0063588037   0.0014651816    0.0920468856   0.0000000000
   0.0067804211   0.0015596753    0.0969778651   0.0000000000
   0.0072267889   0.0016592137    0.1021379610   0.0000000000
   0.0076992735   0.0017640310    0.1075375521   0.0000000000
   0.0081993156   0.0018743722    0.1131875043   0.0000000000
   0.0087284340   0.0019904933    0.1190991925   0.0000000000
   0.0092882297   0.0021126618    0.1252845225   0.0000000000
   0.0098803901   0.0022411577    0.1317559545   0.0000000000
   0.0105066935   0.0023762734    0.1385265262   0.0000000000
   0.0111690136   0.0025183150    0.1456098781   0.0000000000
   0.0118693243   0.0026676022    0.1530202787   0.0000000000
   0.0126097049   0.0028244695    0.1607726505   0.0000000000
   0.0133923453   0.0029892667    0.1688825976   0.0000000000
   0.0142195511   0.0031623593    0.1773664335   0.0000000000
   0.0150937499   0.0033441298    0.1862412096   0.0000000000
   0.0160174965   0.0035349780    0.1955247453   0.0000000000
   0.0169934797   0.0037353218    0.2052356580   0.0000000000
   0.0180245281   0.0039455982    0.2153933949   0.0000000000
   0.0191136170   0.0041662643    0.2260182645   0.0000000000
   0.0202638754   0.0043977975    0.2371314701   0.0000000000
   0.0214785927   0.0046406973    0.2487551433   0.0000000000
   0.0227612265   0.0048954856    0.2609123786   0.0000000000
   0.0241154098   0.0051627080    0.2736272685   0.0000000000
   0.0255449591   0.0054429344    0.2869249401   0.0000000000
   0.0270538827   0.0057367608    0.3008315915   0.0000000000
   0.0286463886   0.0060448097    0.3153745295   0.0000000000
   0.0303268937   0.0063677314    0.3305822079   0.0000000000
   0.0321000324   0.0067062055    0.3464842666   0.0000000000
   0.0339706659   0.0070609417    0.3631115714   0.0000000000
   0.0359438918   0.0074326811    0.3804962537   0.0000000000
   0.0380250537   0.0078221977    0.3986717520   0.0000000000
   0.0402197512   0.0082302998    0.4176728532   0.0000000000
   0.0425338503   0.0086578307    0.4375357348   0.0000000000
   0.0449734939   0.0091056710    0.4582980074   0.0000000000
   0.0475451127   0.0095747395    0.4799987578   0.0000000000
   0.0502554363   0.0100659948    0.5026785924   0.0000000000
   0.0531115044   0.0105804371    0.5263796816   0.0000000000
   0.0561206789   0.0111191092    0.5511458041   0.0000000000
   0.0592906553   0.0116830988    0.5770223912   0.0000000000
   0.0626294752   0.0122735398    0.6040565727   0.0000000000
   0.0661455386   0.0128916140    0.6322972214   0.0000000000
   0.0698476167   0.0135385532    0.6617949994   0.0000000000
   0.0737448647   0.0142156405    0.6926024038   0.0000000000
   0.0778468353   0.0149242126    0.7247738123   0.0000000000
   0.0821634918   0.0156656615    0.7583655299   0.0000000000
   0.0867052220   0.0164414365    0.7934358348   0.0000000000
   0.0914828522   0.0172530461    0.8300450250   0.0000000000
   0.0965076610   0.0181020603    0.8682554643   0.0000000000
   0.1017913944   0.0189901122    0.9081316286   0.0000000000
   0.1073462795   0.0199189009    0.9497401524   0.0000000000
   0.1131850402   0.0208901929    0.9931498749   0.0000000000
   0.1193209117   0.0219058247    1.0384318855   0.0000000000
   0.1257676560   0.0229677051    1.0856595702   0.0000000000
   0.1325395771   0.0240778176    1.1349086569   0.0000000000
   0.1396515370   0.0252382222    1.1862572607   0.0000000000
   0.1471189714   0.0264510587    1.2397859292   0.0000000000
   0.1549579054   0.0277185484    1.2955776864   0.0000000000
   0.1631849702   0.0290429969    1.3537180780   0.0000000000
   0.1718174190   0.0304267967    1.4142952149   0.0000000000
   0.1808731439   0.0318724297    1.4773998165   0.0000000000
   0.1903706919   0.0333824699    1.5431252538   0.0000000000
   0.2003292826   0.0349595858    1.6115675919   0.0000000000
   0.2107688244   0.0366065435    1.6828256320   0.0000000000
   0.2217099316   0.0383262094    1.7570009527   0.0000000000
   0.2331739421   0.0401215526    1.8341979505   0.0000000000
   0.2451829339   0.0419956482    1.9145238804   0.0000000000
   0.2577597432   0.0439516799    1.9980888950   0.0000000000
   0.2709279814   0.0459929432    2.0850060832   0.0000000000
   0.2847120527   0.0481228481    2.1753915084   0.0000000000
   0.2991371720   0.0503449219    2.2693642459   0.0000000000
