  1.00000000000000002E-003
  2.00000000000000004E-003         501
   0.1799408743   0.0000000000   0.0000000000
   0.1798951286   0.0000000000   0.0000000000
   0.1798493020   0.0000000000   0.0000000000
   0.1798033940   0.0000000000   0.0000000000
   0.1797574045   0.0000000000   0.0000000000
   0.1797113330   0.0000000000   0.0000000000
   0.1796651793   0.0000000000   0.0000000000
   0.1796189430   0.0000000000   0.0000000000
   0.1795726238   0.0000000000   0.0000000000
   0.1795262214   0.0000000000   0.0000000000
   0.1794797355   0.0000000000   0.0000000000
   0.1794331658   0.0000000000   0.0000000000
   0.1793865118   0.0000000000   0.0000000000
   0.1793397734   0.0000000000   0.0000000000
   0.1792929501   0.0000000000   0.0000000000
   0.1792460416   0.0000000000   0.0000000000
   0.1791990477   0.0000000000   0.0000000000
   0.1791519678   0.0000000000   0.0000000000
   0.1791048018   0.0000000000   0.0000000000
   0.1790575492   0.0000000000   0.0000000000
   0.1790102098   0.0000000000   0.0000000000
   0.1789627831   0.0000000000   0.0000000000
   0.1789152688   0.0000000000   0.0000000000
   0.1788676666   0.0000000000   0.0000000000
   0.1788199762   0.0000000000   0.0000000000
   0.1787721971   0.0000000000   0.0000000000
   0.1787243290   0.0000000000   0.0000000000
   0.1786763715   0.0000000000   0.0000000000
   0.1786283244   0.0000000000   0.0000000000
   0.1785801871   0.0000000000   0.0000000000
   0.1785319595   0.0000000000   0.0000000000
   0.1784836410   0.0000000000   0.0000000000
   0.1784352313   0.0000000000   0.0000000000
   0.1783867300   0.0000000000   0.0000000000
   0.1783381369   0.0000000000   0.0000000000
   0.1782894514   0.0000000000   0.0000000000
   0.1782406732   0.0000000000   0.0000000000
   0.1781918020   0.0000000000   0.0000000000
   0.1781428373   0.0000000000   0.0000000000
   0.1780937787   0.0000000000   0.0000000000
   0.1780446259   0.0000000000   0.0000000000
   0.1779953785   0.0000000000   0.0000000000
   0.1779460360   0.0000000000   0.0000000000
   0.1778965981   0.0000000000   0.0000000000
   0.1778470644   0.0000000000   0.0000000000
   0.1777974345   0.0000000000   0.0000000000
   0.1777477080   0.0000000000   0.0000000000
   0.1776978844   0.0000000000   0.0000000000
   0.1776479633   0.0000000000   0.0000000000
   0.1775979444   0.0000000000   0.0000000000
   0.1775478272   0.0000000000   0.0000000000
   0.1774976113   0.0000000000   0.0000000000
   0.1774472963   0.0000000000   0.0000000000
   0.1773968818   0.0000000000   0.0000000000
   0.1773463673   0.0000000000   0.0000000000
   0.1772957524   0.0000000000   0.0000000000
   0.1772450366   0.0000000000   0.0000000000
   0.1771942196   0.0000000000   0.0000000000
   0.1771433009   0.0000000000   0.0000000000
   0.1770922800   0.0000000000   0.0000000000
   0.1770411565   0.0000000000   0.0000000000
   0.1769899300   0.0000000000   0.0000000000
   0.1769386000   0.0000000000   0.0000000000
   0.1768871661   0.0000000000   0.0000000000
   0.1768356278   0.0000000000   0.0000000000
   0.1767839846   0.0000000000   0.0000000000
   0.1767322361   0.0000000000   0.0000000000
   0.1766803818   0.0000000000   0.0000000000
   0.1766284212   0.0000000000   0.0000000000
   0.1765763539   0.0000000000   0.0000000000
   0.1765241795   0.0000000000   0.0000000000
   0.1764718973   0.0000000000   0.0000000000
   0.1764195070   0.0000000000   0.0000000000
   0.1763670080   0.0000000000   0.0000000000
   0.1763143999   0.0000000000   0.0000000000
   0.1762616822   0.0000000000   0.0000000000
   0.1762088544   0.0000000000   0.0000000000
   0.1761559159   0.0000000000   0.0000000000
   0.1761028663   0.0000000000   0.0000000000
   0.1760497051   0.0000000000   0.0000000000
   0.1759964318   0.0000000000   0.0000000000
   0.1759430458   0.0000000000   0.0000000000
   0.1758895467   0.0000000000   0.0000000000
   0.1758359338   0.0000000000   0.0000000000
   0.1757822068   0.0000000000   0.0000000000
   0.1757283651   0.0000000000   0.0000000000
   0.1756744080   0.0000000000   0.0000000000
