Upsilon Pb+Pb results
   y     rat(cent)    rat(up)       rat(down)
 -5.25  0.605213613  0.893381094  0.328129918
 -4.75  0.797513812  1.02454934   0.570120437
 -4.25  0.859806762  0.960270715  0.747823669
 -3.75  0.954254796  1.0011311    0.892722104
 -3.25  0.969441212  1.00034727   0.936362812
 -2.75  1.032        1.07081343   0.986280394
 -2.25  1.01947837   1.08146511   0.978952858
 -1.75  1.00551939   1.06249615   0.951182932
 -1.25  0.988928484  1.05838769   0.925979972
 -0.75  0.96019842   1.02942724   0.89546438
 -0.25  0.958617498  1.02907934   0.886632023
  0.25  0.958617498  1.02916378   0.886632023
  0.75  0.96019842   1.02934145   0.895443484
  1.25  0.988928484  1.05838769   0.925979972
  1.75  1.00551939   1.06252567   0.951182932
  2.25  1.01947837   1.08150795   0.978948153
  2.75  1.032        1.070742     0.986228075
  3.25  0.969441212  1.00034727   0.936362812
  3.75  0.954254796  1.0011311    0.892722104
  4.25  0.859806762  0.960274105  0.747805912
  4.75  0.797513812  1.02454934   0.570120437
  5.25  0.605301275  0.893510496  0.328311135


2.4<|y|<4
   pT     rat(cent)    rat(up)       rat(down)
  2.5  0.749588073  0.792898269  0.729536812
  3.5  0.939018798  0.960782109  0.874903447
  4.5  1.23414331  1.25885853  1.17538761
  5.5  1.37243751  1.38427586  1.34135556
  6.5  1.26140065  1.30166225  1.24482269
  7.5  1.21020283  1.23794292  1.19701694
  8.5  1.16753247  1.19581382  1.14005437
  9.5  1.15905707  1.18177729  1.1276816
  10.5  1.10106154  1.16233376  1.0852136
  11.5  1.08611336  1.11377117  1.02726516
  12.5  1.06680485  1.09027757  1.01619314
  13.5  1.03013945  1.11983596  0.999664485
  14.5  1.15885167  1.16748771  1.01315879
  15.5  1.00753072  1.13076162  0.95627529
  16.5  1.08912167  1.16352455  1.01279731
  17.5  0.983012993  1.06500975  0.924568824
  18.5  1.08302294  1.14042116  1.00535664
  19.5  0.92442244  1.01022616  0.847093551
  20.5  0.985747487  1.08290372  0.890847313
  21.5  0.974486749  1.05765145  0.869626162
  22.5  0.956914893  1.13062155  0.866667494
  23.5  1.13263395  1.20894299  1.00241232
  24.5  0.993426458  1.07763292  0.91082284
  25.5  1.10415934  1.22835005  0.890152904
  26.5  0.940695297  1.07074454  0.816141783
  27.5  0.910306099  1.05793045  0.887152553
  28.5  1.03724123  1.13656065  0.794929287
  29.5  0.891063515  1.09745244  0.796343547
  30.5  0.94824219  1.12944337  0.866527222
  31.5  0.979034423  1.0470116  0.765012611
  32.5  0.973466003  1.15963696  0.812553064
  33.5  1.03086233  1.16991377  0.828533361
  34.5  0.912688031  1.04425424  0.755570504
  35.5  0.951786161  1.08066786  0.759378778
  36.5  0.86365343  1.06056469  0.734118493
  37.5  0.971247357  1.08615941  0.715929744
  38.5  0.938081415  1.26129103  0.721766274
  39.5  0.899217836  1.21294129  0.829395682
  40.5  0.9838135  1.065927  0.553049146
  41.5  0.926533701  1.22524897  0.671805521
  42.5  0.733280166  0.872050181  0.602426957
  43.5  0.687583933  0.771380737  0.475134118
  44.5  0.955049132  1.24507459  0.664025006
  45.5  0.91581314  1.21619744  0.672235951
  46.5  0.658167674  0.845253483  0.491660635
  47.5  0.761636989  1.09227517  0.714483888
  48.5  0.82565337  0.882915153  0.466871681
  49.5  0.8619891  1.23031392  0.70933221

|y|<2.4
   pT     rat(cent)    rat(up)       rat(down)
  2.5  0.732460574  0.793355351  0.667565864
  3.5  0.981379092  1.03770035  0.928393685
  4.5  1.16918271  1.22722426  1.12103198
  5.5  1.22111072  1.27435386  1.18118326
  6.5  1.17160963  1.22932922  1.13140282
  7.5  1.14582587  1.18800887  1.10801094
  8.5  1.14411662  1.18838561  1.1089303
  9.5  1.12891752  1.16892294  1.0876382
  10.5  1.13228089  1.17614862  1.09114684
  11.5  1.12431269  1.16698675  1.08058934
  12.5  1.10602522  1.15345693  1.06870364
